url,breed_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
https://www.petfinder.com/dog/loretta-45951195/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Loretta,Paramus,NJ,7653
https://www.petfinder.com/dog/dolly-45951107/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Dolly,Paramus,NJ,7653
https://www.petfinder.com/dog/eddie-45951047/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Male,Large,Short,FALSE,FALSE,TRUE,Eddie,Paramus,NJ,7653
https://www.petfinder.com/dog/david-45950945/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Male,Large,Short,FALSE,FALSE,TRUE,David,Paramus,NJ,7653
https://www.petfinder.com/dog/axle-45950738/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Male,Large,Short,FALSE,FALSE,TRUE,Axle,Paramus,NJ,7653
https://www.petfinder.com/dog/betty-45946569/nj/palisades-park/animal-life-savers-inc-nj387/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shar-Pei,Baby,Female,Small,Short,TRUE,TRUE,TRUE,Betty,Palisades Park,NJ,7650
https://www.petfinder.com/dog/dexter-45946549/nj/palisades-park/animal-life-savers-inc-nj387/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shar-Pei,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Dexter,Palisades Park,NJ,7650
https://www.petfinder.com/dog/alice-45944286/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Baby,Female,Small,Medium,TRUE,FALSE,TRUE,Alice,Ringwood,NJ,7456
https://www.petfinder.com/dog/allyson-45944106/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Baby,Female,Small,Medium,TRUE,FALSE,TRUE,Allyson,Ringwood,NJ,7456
https://www.petfinder.com/dog/ashton-45944093/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Baby,Male,Small,Medium,TRUE,FALSE,TRUE,Ashton,Ringwood,NJ,7456
https://www.petfinder.com/dog/stevie-45944055/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Baby,Male,Small,Short,TRUE,FALSE,TRUE,Stevie,Ringwood,NJ,7456
https://www.petfinder.com/dog/sally-45944047/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Baby,Female,Small,Short,TRUE,FALSE,TRUE,Sally,Ringwood,NJ,7456
https://www.petfinder.com/dog/susie-45944031/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Baby,Female,Small,Short,TRUE,FALSE,TRUE,Susie,Ringwood,NJ,7456
https://www.petfinder.com/dog/sara-45944021/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Baby,Female,Small,Short,TRUE,FALSE,TRUE,Sara,Ringwood,NJ,7456
https://www.petfinder.com/dog/tabitha-45944009/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mastiff,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Tabitha,Ringwood,NJ,7456
https://www.petfinder.com/dog/tony-45943936/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mastiff,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Tony,Ringwood,NJ,7456
https://www.petfinder.com/dog/ripley-45943288/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Ripley,Ringwood,NJ,7456
https://www.petfinder.com/dog/reggie-45943239/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Shepherd,Baby,Male,Medium,Medium,TRUE,FALSE,TRUE,Reggie,Ringwood,NJ,7456
https://www.petfinder.com/dog/booker-45943209/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Booker,Ringwood,NJ,7456
https://www.petfinder.com/dog/ava-45943187/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Young,Female,Medium,Short,TRUE,FALSE,TRUE,Ava,Ringwood,NJ,7456
https://www.petfinder.com/dog/gracie-45942942/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Golden Retriever,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Gracie,Ringwood,NJ,7456
https://www.petfinder.com/dog/lovely-lilly-friendly-and-healthy-45940588/nj/clifton/friends-of-the-clifton-animal-shelter-nj37/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,Adult,Female,Medium,Medium,TRUE,FALSE,TRUE,LOVELY LILLY! FRIENDLY & HEALTHY,Clifton,NJ,7015
https://www.petfinder.com/dog/charlie-45940041/nj/jersey-city/legacy-german-shepherd-rescue-ms67/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Black Labrador Retriever,Baby,Male,Large,Medium,TRUE,FALSE,TRUE,Charlie,Jersey City,NJ,7307
https://www.petfinder.com/dog/bree-45940021/nj/jersey-city/legacy-german-shepherd-rescue-ms67/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Black Labrador Retriever,Baby,Female,Medium,Short,TRUE,FALSE,TRUE,Bree,Jersey City,NJ,7307
https://www.petfinder.com/dog/dirk-45934974/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Dirk,Ringwood,NJ,7456
https://www.petfinder.com/dog/blake-45934878/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Blake,Ringwood,NJ,7456
